,ID GS1,Clacom,Nombre Clacom,Nombre GS1,
,10002602,313130104,MEZCLADORA LAVAPLATOS/TARJA AL MUEBLE, Grifos/llaves,
,10002602,313130105,MONOBLOCK LAVAPLATOS/TARJA PARED, Grifos/llaves,
,10002602,313130106,MONOBLOCK LAVAPLATOS/TARJA MUEBLE, Grifos/llaves,
,10002602,313130107,MONOMANDO LAVAPLATOS/TARJA MUEBLE, Grifos/llaves,
,10002602,313130108,MONOMANDO LAVAPLATOS/TARJA PARED, Grifos/llaves,
,,312,PINTURA Y ACCESORIOS,,
,,31201,PINTURAS,,
,,3120101,PINTURAS DECORATIVAS BASE AGUA ,,
,10003874,312010101,LATEX/VINILOS INTERIOR BASICO, Pinturas/imprimaciones para viviendas,
,10003874,312010102,LATEX/VINILOS INTERIOR ESTANDAR, Pinturas/imprimaciones para viviendas,
,10003874,312010103,LATEX/VINILOS EXTERIOR ESTANDAR, Pinturas/imprimaciones para viviendas,
,10003874,312010104,LATEX/VINILOS INTERIOR PREMIUM, Pinturas/imprimaciones para viviendas,
,10003874,312010105,LATEX/VINILOS EXTERIOR PREMIUM, Pinturas/imprimaciones para viviendas,
,10003874,312010106,LATEX/VINILOS INTERIOR DELUXE, Pinturas/imprimaciones para viviendas,
,10003874,312010107,LATEX/VINILOS EXTERIOR DELUXE, Pinturas/imprimaciones para viviendas,
,10003874,312010108,LATEX/VINILOS INTERIOR ELITE, Pinturas/imprimaciones para viviendas,
,10003874,312010109,LATEX/VINILOS EXTERIOR ELITE, Pinturas/imprimaciones para viviendas,
,10003874,312010119,LATEX/VINILOS PARA CIELOS, Pinturas/imprimaciones para viviendas,
,10003874,312010120,LATEX/VINILOS ESPECIALIDADES, Pinturas/imprimaciones para viviendas,
,10003874,312010121,INSUMOS / COMPONENTES KOLOR, Pinturas/imprimaciones para viviendas,
,10003874,312010122,COLORANTES / CONCENTRADOS, Pinturas/imprimaciones para viviendas,
,,3120102,PINTURAS DECORATIVAS BASE SOLVENTE (OLEOS/ ESMALTE,,
,10003874,312010201,ESMALTE SINTETICO MATE, Pinturas/imprimaciones para viviendas,
