Name;Level;ID_GPC;ID_PIM
Filtros para automóviles;Level 3;77013800;77013800
Filtro de aire/polvo;Level 4;10006328;10006328
Filtro de extracción;Level 4;10006329;10006329
Accesorios de filtros (Automóviles);Level 4;10003026;10003026
Filtros – Aire (Automóviles);Level 4;10003022;10003022
Filtros – Líquidos (Automóviles);Level 4;10003762;10003762
Filtros – Otros (Automóviles);Level 4;10003029;10003029
Paquetes variados de filtros (Automóviles);Level 4;10003030;10003030
Kits de filtro de rendimiento/accesorios (Automóviles);Level 4;10003028;10003028
Filtros de transmisión (Automóviles);Level 4;10003024;10003024
Artículos para el cambio de líquidos de automóviles;Level 3;77014700;77014700
Artículos de cambio de líquido – Otros (Automóviles);Level 4;10003114;10003114
Paquetes variados de artículos de cambio de líquido (Automóviles);Level 4;10003115;10003115
Esterillas de aceite (Automóviles);Level 4;10003113;10003113
Accesorios de administración de líquidos para automóviles;Level 3;77014500;77014500
Tapón de purga (Automóviles);Level 4;10003095;10003095
Llaves de filtro (Automóviles);Level 4;10003092;10003092
Kits/accesorios de cambio de líquidos;Level 4;10003097;10003097
Accesorios de administración de líquidos – Otros (Automóviles);Level 4;10003105;10003105
Administración de líquidos/paquetes variados de accesorios (Automóviles);Level 4;10003106;10003106
Mezcladores de líquidos (Automóviles);Level 4;10003099;10003099
Accesorios del interior de automóviles – confort;Level 3;77011600;77011600
Ceniceros (Automóviles);Level 4;10002847;10002847
Relojes (Automóviles);Level 4;10002848;10002848
Percheros (Automóviles);Level 4;10002849;10002849
Brújulas (Automóviles);Level 4;10002850;10002850
Soporte para vasos (Automóviles);Level 4;10002851;10002851
Ventiladores (Automóviles);Level 4;10002857;10002857
Soporte para llaves (Automóviles);Level 4;10002852;10002852
Luces de mapa (Automóviles);Level 4;10002854;10002854
Unidades de refrigeración/calefacción (Automóviles);Level 4;10002858;10002858
Bandejas de snack/bebida (Automóviles);Level 4;10002853;10002853
Termómetros (Automóviles);Level 4;10002855;10002855
Accesorios del interior de automóviles – decoración;Level 3;77012100;77012100
Tiradores/manivelas decorativos;Level 4;10002879;10002879
Funda de cabezales/Kits (Automóviles);Level 4;10002881;10002881
Indicadores interiores (Automóviles);Level 4;10002873;10002873
Cubiertas/juegos de pedales (Automóviles);Level 4;10002877;10002877
Kits/manguitos de la palanca de cambios (Automóviles);Level 4;10002876;10002876
Tirador/pomo de cambiador (Automóviles);Level 4;10002875;10002875
Accesorios del interior de automóviles – salpicadero interior;Level 3;77012000;77012000
Alfombras/fundas de salpicadero;Level 4;10002871;10002871
Kits de moldura de salpicadero;Level 4;10002870;10002870
Paneles/guías de instrumentos;Level 4;10002872;10002872
Accesorios del interior de automóviles – revestimiento de suelo interior;Level 3;77011900;77011900
Escalones de puerta/ Plataforma de pie (Automóviles);Level 4;10002866;10002866
Alfombrillas para suelo (Automóviles);Level 4;10002867;10002867
Bolsa/bandeja para carga interior (Automóviles);Level 4;10002868;10002868
Revestimiento interior de suelo – Otros (Automóviles);Level 4;10002869;10002869
Moqueta de sustitución (Automóviles);Level 4;10002865;10002865
Accesorios del interior de automóviles – organización;Level 3;77011500;77011500
Consolas (Automóviles);Level 4;10002844;10002844
Bolsas/cestos de basura (Automóviles);Level 4;10002845;10002845
Soporte de disco de impuestos (Automóviles);Level 4;10005122;10005122
Accesorios del interior de automóviles – asientos;Level 3;77011400;77011400
Sillas/asientos elevadores para el coche;Level 4;10000792;10000792
Cojines para cabeza/cuello (Automóviles);Level 4;10002842;10002842
Almohadillas para cinturones de seguridad;Level 4;10002841;10002841
Cinturones/extendedores de seguridad;Level 4;10002840;10002840
Fundas de asientos (Automóviles);Level 4;10002838;10002838
Cojines de asientos (Automóviles);Level 4;10002839;10002839
Asientos (Automóviles);Level 4;10002837;10002837
Accesorios del interior de automóviles – dirección;Level 3;77011800;77011800
Fundas de volante;Level 4;10002863;10002863
Volantes;Level 4;10002862;10002862
Accesorios del interior de automóviles – protección solar;Level 3;77011700;77011700
Tintas para ventana;Level 4;10002860;10002860
Visores para puerta/ventana;Level 4;10002861;10002861
Viseras para parabrisas;Level 4;10002859;10002859
Acoplamientos de luz para automóviles;Level 3;77014000;77014000
Acoplamientos – Faros delanteros;Level 4;10003049;10003049
Acoplamientos – Luces traseras;Level 4;10003050;10003050
Acoplamientos de luz – Otros (Automóviles);Level 4;10003052;10003052
Luces/bombillas para automóviles;Level 3;77013900;77013900
Luces de respaldo (Automóviles);Level 4;10003037;10003037
Despeje/marcador/luces de estribo (Automóviles);Level 4;10003041;10003041
Luces direccionales;Level 4;10003038;10003038
Luces de emergencia (Automóviles);Level 4;10002830;10002830
Luces antiniebla (Automóviles);Level 4;10003036;10003036
Faros (Automóviles);Level 4;10003031;10003031
Reflectores (Automóviles);Level 4;10003046;10003046
Bombillas de repuesto;Level 4;10003034;10003034
Lentes de repuesto (Automóviles);Level 4;10003045;10003045
Luces de sirena;Level 4;10003042;10003042
Focos (Automóviles);Level 4;10003759;10003759
Luces de freno/intermitentes/luces traseras;Level 4;10003044;10003044
Reparación/mantenimiento de automóviles;Level 3;77011200;77011200
